name
ROLE_ADMIN
ROLE_USER
ROLE_COACH
ROLE_ASSISTANT_COACH
ROLE_MANAGER
ROLE_REFEREE
ROLE_REFEREE_DIRECTOR
ROLE_TOURNAMENT_DIRECTOR
ROLE_CLINIC_DIRECTOR
ROLE_VOLUNTEER
ROLE_VOLUNTEER_DIRECTOR
